Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq),Hardware Information on AWS Documentation & Comments
c5.24xlarge,June 2019,96,96,Xeon Platinum 8275CL,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,38.9,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5.metal,June 2019,96,96,Xeon Platinum 8275CL,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,38.9,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5a.large,June 2020,2,96,EPYC 7R32,4,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,1.2,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,0.7,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.xlarge,June 2020,4,96,EPYC 7R32,8,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,2.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,1.5,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.2xlarge,June 2020,8,96,EPYC 7R32,16,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,4.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,3.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.4xlarge,June 2020,16,96,EPYC 7R32,32,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,9.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,6.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.8xlarge,June 2020,32,96,EPYC 7R32,64,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,18.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,12.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.12xlarge,June 2020,48,96,EPYC 7R32,96,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,19.20,28.80,38.40,57.60,0.0,0.0,0.0,0.0,28.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,18.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.16xlarge,June 2020,64,96,EPYC 7R32,128,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,37.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,24.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5a.24xlarge,June 2020,96,96,EPYC 7R32,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,38.40,57.60,76.80,115.20,0.0,0.0,0.0,0.0,56.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,0.0,1244.1,36.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
