Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Type,Platform Storage Drive Quantity,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,Delta Full Machine,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq)
c5a.24xlarge,June 2020,96,96,EPYC 7R32,192.0,192.0,EBS,0,38.4,57.6,76.8,115.2,56.0,244.1,0.0,0.0,0.0,1244.1,36.0
c5ad.large,August 2020,2,96,EPYC 7R32,4.0,192.0,SSD,2,0.8,1.2,1.6,2.4,1.2,244.1,200.0,0.0,0.0,1444.1,0.9
c5ad.xlarge,August 2020,4,96,EPYC 7R32,8.0,192.0,SSD,2,1.6,2.4,3.2,4.8,2.3,244.1,200.0,0.0,0.0,1444.1,1.7
c5ad.2xlarge,August 2020,8,96,EPYC 7R32,16.0,192.0,SSD,2,3.2,4.8,6.4,9.6,4.7,244.1,200.0,0.0,0.0,1444.1,3.5
c5ad.4xlarge,August 2020,16,96,EPYC 7R32,32.0,192.0,SSD,2,6.4,9.6,12.8,19.2,9.3,244.1,200.0,0.0,0.0,1444.1,7.0
c5ad.8xlarge,August 2020,32,96,EPYC 7R32,64.0,192.0,SSD,2,12.8,19.2,25.6,38.4,18.7,244.1,200.0,0.0,0.0,1444.1,13.9
c5ad.12xlarge,August 2020,48,96,EPYC 7R32,96.0,192.0,SSD,2,19.2,28.8,38.4,57.6,28.0,244.1,200.0,0.0,0.0,1444.1,20.9
c5ad.16xlarge,August 2020,64,96,EPYC 7R32,128.0,192.0,SSD,2,25.6,38.4,51.2,76.8,37.3,244.1,200.0,0.0,0.0,1444.1,27.9
c5ad.24xlarge,August 2020,96,96,EPYC 7R32,192.0,192.0,SSD,2,38.4,57.6,76.8,115.2,56.0,244.1,200.0,0.0,0.0,1444.1,41.8
c6g.medium,December 2019,1,64,Graviton2,2.0,128.0,EBS,0,0.4,0.6,0.8,1.2,0.5,155.3,0.0,0.0,0.0,1155.3,0.5
c6g.large,December 2019,2,64,Graviton2,4.0,128.0,EBS,0,0.8,1.2,1.6,2.4,0.9,155.3,0.0,0.0,0.0,1155.3,1.0
c6g.xlarge,December 2019,4,64,Graviton2,8.0,128.0,EBS,0,1.6,2.4,3.2,4.8,1.9,155.3,0.0,0.0,0.0,1155.3,2.1
c6g.2xlarge,December 2019,8,64,Graviton2,16.0,128.0,EBS,0,3.2,4.8,6.4,9.6,3.8,155.3,0.0,0.0,0.0,1155.3,4.2
c6g.4xlarge,December 2019,16,64,Graviton2,32.0,128.0,EBS,0,6.4,9.6,12.8,19.2,7.5,155.3,0.0,0.0,0.0,1155.3,8.4
c6g.8xlarge,December 2019,32,64,Graviton2,64.0,128.0,EBS,0,12.8,19.2,25.6,38.4,15.0,155.3,0.0,0.0,0.0,1155.3,16.7
c6g.12xlarge,December 2019,48,64,Graviton2,96.0,128.0,EBS,0,19.2,28.8,38.4,57.6,22.5,155.3,0.0,0.0,0.0,1155.3,25.1
c6g.16xlarge,December 2019,64,64,Graviton2,128.0,128.0,EBS,0,25.6,38.4,51.2,76.8,30.0,155.3,0.0,0.0,0.0,1155.3,33.4
c6g.metal,December 2019,64,64,Graviton2,128.0,128.0,EBS,0,25.6,38.4,51.2,76.8,30.0,155.3,0.0,0.0,0.0,1155.3,33.4
c6gd.medium,December 2019,1,64,Graviton2,2.0,128.0,SSD,2,0.4,0.6,0.8,1.2,0.5,155.3,200.0,0.0,0.0,1355.3,0.6
c6gd.large,December 2019,2,64,Graviton2,4.0,128.0,SSD,2,0.8,1.2,1.6,2.4,0.9,155.3,200.0,0.0,0.0,1355.3,1.2
c6gd.xlarge,December 2019,4,64,Graviton2,8.0,128.0,SSD,2,1.6,2.4,3.2,4.8,1.9,155.3,200.0,0.0,0.0,1355.3,2.5
c6gd.2xlarge,December 2019,8,64,Graviton2,16.0,128.0,SSD,2,3.2,4.8,6.4,9.6,3.8,155.3,200.0,0.0,0.0,1355.3,4.9
c6gd.4xlarge,December 2019,16,64,Graviton2,32.0,128.0,SSD,2,6.4,9.6,12.8,19.2,7.5,155.3,200.0,0.0,0.0,1355.3,9.8
c6gd.8xlarge,December 2019,32,64,Graviton2,64.0,128.0,SSD,2,12.8,19.2,25.6,38.4,15.0,155.3,200.0,0.0,0.0,1355.3,19.6
c6gd.12xlarge,December 2019,48,64,Graviton2,96.0,128.0,SSD,2,19.2,28.8,38.4,57.6,22.5,155.3,200.0,0.0,0.0,1355.3,29.4
c6gd.16xlarge,December 2019,64,64,Graviton2,128.0,128.0,SSD,2,25.6,38.4,51.2,76.8,30.0,155.3,200.0,0.0,0.0,1355.3,39.2
c6gd.metal,December 2019,64,64,Graviton2,128.0,128.0,SSD,2,25.6,38.4,51.2,76.8,30.0,155.3,200.0,0.0,0.0,1355.3,39.2
c6gn.medium,December 2019,1,64,Graviton2,2.0,128.0,EBS,0,0.4,0.6,0.8,1.2,0.5,155.3,0.0,0.0,0.0,1155.3,0.5
c6gn.large,December 2019,2,64,Graviton2,4.0,128.0,EBS,0,0.8,1.2,1.6,2.4,0.9,155.3,0.0,0.0,0.0,1155.3,1.0
c6gn.xlarge,December 2019,4,64,Graviton2,8.0,128.0,EBS,0,1.6,2.4,3.2,4.8,1.9,155.3,0.0,0.0,0.0,1155.3,2.1
c6gn.2xlarge,December 2019,8,64,Graviton2,16.0,128.0,EBS,0,3.2,4.8,6.4,9.6,3.8,155.3,0.0,0.0,0.0,1155.3,4.2
c6gn.4xlarge,December 2019,16,64,Graviton2,32.0,128.0,EBS,0,6.4,9.6,12.8,19.2,7.5,155.3,0.0,0.0,0.0,1155.3,8.4
c6gn.8xlarge,December 2019,32,64,Graviton2,64.0,128.0,EBS,0,12.8,19.2,25.6,38.4,15.0,155.3,0.0,0.0,0.0,1155.3,16.7
c6gn.12xlarge,December 2019,48,64,Graviton2,96.0,128.0,EBS,0,19.2,28.8,38.4,57.6,22.5,155.3,0.0,0.0,0.0,1155.3,25.1
c6gn.16xlarge,December 2019,64,64,Graviton2,128.0,128.0,EBS,0,25.6,38.4,51.2,76.8,30.0,155.3,0.0,0.0,0.0,1155.3,33.4
d2.xlarge,March 2015,4,48,Xeon E5-2676 v3,30.5,244.0,HDD,24,6.1,9.15,12.2,18.3,4.0,316.2,1200.0,0.0,100.0,2616.2,6.3
d2.2xlarge,March 2015,8,48,Xeon E5-2676 v3,61.0,244.0,HDD,24,12.2,18.3,24.4,36.6,8.0,316.2,1200.0,0.0,100.0,2616.2,12.6
d2.4xlarge,March 2015,16,48,Xeon E5-2676 v3,122.0,244.0,HDD,24,24.4,36.6,48.8,73.2,16.0,316.2,1200.0,0.0,100.0,2616.2,25.2
d2.8xlarge,March 2015,36,48,Xeon E5-2676 v3,244.0,244.0,HDD,24,48.8,73.2,97.6,146.4,36.0,316.2,1200.0,0.0,100.0,2616.2,56.8
dc2.large,October 2017,2,40,Xeon E5-2670 v2,15.0,244.0,SSD,4,3.0,4.5,6.0,9.0,2.3,316.2,400.0,0.0,100.0,1816.2,2.6
dc2.8xlarge,October 2017,32,40,Xeon E5-2670 v2,244.0,244.0,SSD,4,48.8,73.2,97.6,146.4,36.8,316.2,400.0,0.0,100.0,1816.2,42.0
ds2.xlarge,June 2015,4,48,Xeon E5-2676 v3,31.0,244.0,HDD,8,6.2,9.3,12.4,18.6,4.0,316.2,400.0,0.0,100.0,1816.2,4.4
ds2.8xlarge,June 2015,36,48,Xeon E5-2676 v3,244.0,244.0,HDD,8,48.8,73.2,97.6,146.4,36.0,316.2,400.0,0.0,100.0,1816.2,39.4
f1.2xlarge,November 2016,8,72,Xeon E5-2686 v4,122.0,976.0,SSD,4,24.4,36.6,48.8,73.2,6.4,1331.4,400.0,0.0,100.0,2831.4,9.1
f1.4xlarge,November 2016,16,72,Xeon E5-2686 v4,244.0,976.0,SSD,4,48.8,73.2,97.6,146.4,12.9,1331.4,400.0,0.0,100.0,2831.4,18.2
f1.16xlarge,November 2016,64,72,Xeon E5-2686 v4,976.0,976.0,SSD,4,195.2,292.8,390.4,585.6,51.6,1331.4,400.0,0.0,100.0,2831.4,72.8
g2.2xlarge,November 2013,8,32,Xeon E5-2670,15.0,60.0,SSD,2,3.0,4.5,6.0,9.0,11.5,61.0,200.0,600.0,100.0,1961.0,14.2
g2.8xlarge,April 2015,32,32,Xeon E5-2670,60.0,60.0,SSD,2,12.0,18.0,24.0,36.0,46.0,61.0,200.0,600.0,100.0,1961.0,56.7
g3s.xlarge,October 2018,4,72,Xeon E5-2686 v4,30.5,488.0,EBS,0,6.1,9.15,12.2,18.3,3.2,654.6,0.0,600.0,100.0,2354.6,3.8
g3.4xlarge,July 2017,16,72,Xeon E5-2686 v4,122.0,488.0,EBS,0,24.4,36.6,48.8,73.2,12.9,654.6,0.0,600.0,100.0,2354.6,15.1
g3.8xlarge,July 2017,32,72,Xeon E5-2686 v4,244.0,488.0,EBS,0,48.8,73.2,97.6,146.4,25.8,654.6,0.0,600.0,100.0,2354.6,30.3
g3.16xlarge,July 2017,64,72,Xeon E5-2686 v4,488.0,488.0,EBS,0,97.6,146.4,195.2,292.8,51.6,654.6,0.0,600.0,100.0,2354.6,60.6
g4ad.4xlarge,March 2019,16,96,EPYC 7R32,64.0,384.0,SSD,2,12.8,19.2,25.6,38.4,9.3,510.4,200.0,600.0,0.0,2310.4,11.1
g4ad.8xlarge,March 2019,32,96,EPYC 7R32,128.0,384.0,SSD,2,25.6,38.4,51.2,76.8,18.7,510.4,200.0,600.0,0.0,2310.4,22.3
g4ad.16xlarge,March 2019,64,96,EPYC 7R32,256.0,384.0,SSD,2,51.2,76.8,102.4,153.6,37.3,510.4,200.0,600.0,0.0,2310.4,44.6
h1.2xlarge,November 2017,8,72,Xeon E5-2686 v4,32.0,256.0,HDD,24,6.4,9.6,12.8,19.2,6.4,332.9,1200.0,0.0,100.0,2632.9,8.5
h1.4xlarge,November 2017,16,72,Xeon E5-2686 v4,64.0,256.0,HDD,24,12.8,19.2,25.6,38.4,12.9,332.9,1200.0,0.0,100.0,2632.9,16.9
h1.8xlarge,November 2017,32,72,Xeon E5-2686 v4,128.0,256.0,HDD,24,25.6,38.4,51.2,76.8,25.8,332.9,1200.0,0.0,100.0,2632.9,33.9
h1.16xlarge,November 2017,64,72,Xeon E5-2686 v4,256.0,256.0,HDD,24,51.2,76.8,102.4,153.6,51.6,332.9,1200.0,0.0,100.0,2632.9,67.7
hs1.8xlarge,December 2012,16,32,Xeon E5-2670,117.0,244.0,HDD,24,23.4,35.1,46.8,70.2,23.0,316.2,1200.0,0.0,100.0,2616.2,37.9
i2.xlarge,December 2013,4,40,Xeon E5-2670 v2,30.5,244.0,SSD,8,6.1,9.15,12.2,18.3,4.6,316.2,800.0,0.0,100.0,2216.2,6.4
i2.2xlarge,December 2013,8,40,Xeon E5-2670 v2,61.0,244.0,SSD,8,12.2,18.3,24.4,36.6,9.2,316.2,800.0,0.0,100.0,2216.2,12.8
i2.4xlarge,December 2013,16,40,Xeon E5-2670 v2,122.0,244.0,SSD,8,24.4,36.6,48.8,73.2,18.4,316.2,800.0,0.0,100.0,2216.2,25.7
i2.8xlarge,December 2013,32,40,Xeon E5-2670 v2,244.0,244.0,SSD,8,48.8,73.2,97.6,146.4,36.8,316.2,800.0,0.0,100.0,2216.2,51.3
i3.large,November 2016,2,72,Xeon E5-2686 v4,15.25,512.0,SSD,8,3.05,4.58,6.1,9.15,1.6,687.9,800.0,0.0,100.0,2587.9,2.1
i3.xlarge,November 2016,4,72,Xeon E5-2686 v4,30.5,512.0,SSD,8,6.1,9.15,12.2,18.3,3.2,687.9,800.0,0.0,100.0,2587.9,4.2
i3.2xlarge,November 2016,8,72,Xeon E5-2686 v4,61.0,512.0,SSD,8,12.2,18.3,24.4,36.6,6.4,687.9,800.0,0.0,100.0,2587.9,8.3
i3.4xlarge,November 2016,16,72,Xeon E5-2686 v4,122.0,512.0,SSD,8,24.4,36.6,48.8,73.2,12.9,687.9,800.0,0.0,100.0,2587.9,16.6
i3.8xlarge,November 2016,32,72,Xeon E5-2686 v4,244.0,512.0,SSD,8,48.8,73.2,97.6,146.4,25.8,687.9,800.0,0.0,100.0,2587.9,33.3
i3.16xlarge,November 2016,64,72,Xeon E5-2686 v4,488.0,512.0,SSD,8,97.6,146.4,195.2,292.8,51.6,687.9,800.0,0.0,100.0,2587.9,66.6
i3.metal,November 2017,72,72,Xeon E5-2686 v4,512.0,512.0,SSD,8,102.4,153.6,204.8,307.2,58.0,687.9,800.0,0.0,100.0,2587.9,74.9
m1.small,August 2006,1,32,Xeon E5-2650,1.7,120.0,SSD,4,0.34,0.51,0.68,1.02,1.2,144.2,400.0,0.0,100.0,1644.2,1.5
m1.medium,March 2012,1,32,Xeon E5-2650,3.75,120.0,SSD,4,0.75,1.13,1.5,2.25,1.2,144.2,400.0,0.0,100.0,1644.2,1.5
m1.large,October 2007,2,32,Xeon E5-2650,7.5,120.0,SSD,4,1.5,2.25,3.0,4.5,2.4,144.2,400.0,0.0,100.0,1644.2,3.0
m1.xlarge,October 2007,4,32,Xeon E5-2650,15.0,120.0,SSD,4,3.0,4.5,6.0,9.0,4.8,144.2,400.0,0.0,100.0,1644.2,5.9
m2.xlarge,February 2010,2,32,Xeon E5-2665,17.1,280.0,SSD,2,3.42,5.13,6.84,10.26,2.9,366.1,200.0,0.0,100.0,1666.1,3.0
m2.2xlarge,October 2009,4,32,Xeon E5-2665,34.2,280.0,SSD,2,6.84,10.26,13.68,20.52,5.8,366.1,200.0,0.0,100.0,1666.1,6.0
m2.4xlarge,October 2009,8,32,Xeon E5-2665,68.4,280.0,SSD,2,13.68,20.52,27.36,41.04,11.5,366.1,200.0,0.0,100.0,1666.1,12.1
m3.medium,January 2014,1,32,Xeon E5-2670,3.75,240.0,SSD,2,0.75,1.13,1.5,2.25,1.4,310.7,200.0,0.0,100.0,1610.7,1.5
m3.large,January 2014,2,32,Xeon E5-2670,7.5,240.0,SSD,2,1.5,2.25,3.0,4.5,2.9,310.7,200.0,0.0,100.0,1610.7,2.9
m3.xlarge,October 2012,4,32,Xeon E5-2670,15.0,240.0,SSD,2,3.0,4.5,6.0,9.0,5.8,310.7,200.0,0.0,100.0,1610.7,5.8
m3.2xlarge,October 2012,8,32,Xeon E5-2670,30.0,240.0,SSD,2,6.0,9.0,12.0,18.0,11.5,310.7,200.0,0.0,100.0,1610.7,11.7
m4.large,June 2015,2,72,Xeon E5-2686 v4,8.0,256.0,EBS,0,1.6,2.4,3.2,4.8,1.6,332.9,0.0,0.0,100.0,1432.9,1.2
m4.xlarge,June 2015,4,72,Xeon E5-2686 v4,16.0,256.0,EBS,0,3.2,4.8,6.4,9.6,3.2,332.9,0.0,0.0,100.0,1432.9,2.3
m4.2xlarge,June 2015,8,72,Xeon E5-2686 v4,32.0,256.0,EBS,0,6.4,9.6,12.8,19.2,6.4,332.9,0.0,0.0,100.0,1432.9,4.6
m4.4xlarge,June 2015,16,72,Xeon E5-2686 v4,64.0,256.0,EBS,0,12.8,19.2,25.6,38.4,12.9,332.9,0.0,0.0,100.0,1432.9,9.2
m4.10xlarge,June 2015,40,48,Xeon E5-2676 v3,160.0,256.0,EBS,0,32.0,48.0,64.0,96.0,40.0,332.9,0.0,0.0,100.0,1432.9,34.5
m4.16xlarge,September 2016,64,72,Xeon E5-2686 v4,256.0,256.0,EBS,0,51.2,76.8,102.4,153.6,51.6,332.9,0.0,0.0,100.0,1432.9,36.9
m5a.large,November 2018,2,96,EPYC 7571,8.0,384.0,EBS,0,1.6,2.4,3.2,4.8,1.7,510.4,0.0,0.0,100.0,1610.4,1.0
m5a.xlarge,November 2018,4,96,EPYC 7571,16.0,384.0,EBS,0,3.2,4.8,6.4,9.6,3.3,510.4,0.0,0.0,100.0,1610.4,1.9
m5a.2xlarge,November 2018,8,96,EPYC 7571,32.0,384.0,EBS,0,6.4,9.6,12.8,19.2,6.7,510.4,0.0,0.0,100.0,1610.4,3.9
m5a.4xlarge,November 2018,16,96,EPYC 7571,64.0,384.0,EBS,0,12.8,19.2,25.6,38.4,13.3,510.4,0.0,0.0,100.0,1610.4,7.8
m5a.8xlarge,June 2019,32,96,EPYC 7571,128.0,384.0,EBS,0,25.6,38.4,51.2,76.8,26.7,510.4,0.0,0.0,100.0,1610.4,15.5
m5a.12xlarge,November 2018,48,96,EPYC 7571,192.0,384.0,EBS,0,38.4,57.6,76.8,115.2,40.0,510.4,0.0,0.0,100.0,1610.4,23.3
m5a.16xlarge,June 2019,64,96,EPYC 7571,256.0,384.0,EBS,0,51.2,76.8,102.4,153.6,53.3,510.4,0.0,0.0,100.0,1610.4,31.1
m5a.24xlarge,November 2018,96,96,EPYC 7571,384.0,384.0,EBS,0,76.8,115.2,153.6,230.4,80.0,510.4,0.0,0.0,100.0,1610.4,46.6
m5ad.large,March 2019,2,96,EPYC 7571,8.0,384.0,SSD,4,1.6,2.4,3.2,4.8,1.7,510.4,400.0,0.0,100.0,2010.4,1.2
m5ad.xlarge,March 2019,4,96,EPYC 7571,16.0,384.0,SSD,4,3.2,4.8,6.4,9.6,3.3,510.4,400.0,0.0,100.0,2010.4,2.4
m5ad.2xlarge,March 2019,8,96,EPYC 7571,32.0,384.0,SSD,4,6.4,9.6,12.8,19.2,6.7,510.4,400.0,0.0,100.0,2010.4,4.8
m5ad.4xlarge,March 2019,16,96,EPYC 7571,64.0,384.0,SSD,4,12.8,19.2,25.6,38.4,13.3,510.4,400.0,0.0,100.0,2010.4,9.7
m5ad.8xlarge,March 2019,32,96,EPYC 7571,128.0,384.0,SSD,4,25.6,38.4,51.2,76.8,26.7,510.4,400.0,0.0,100.0,2010.4,19.4
m5ad.12xlarge,March 2019,48,96,EPYC 7571,192.0,384.0,SSD,4,38.4,57.6,76.8,115.2,40.0,510.4,400.0,0.0,100.0,2010.4,29.1
m5ad.16xlarge,March 2019,64,96,EPYC 7571,256.0,384.0,SSD,4,51.2,76.8,102.4,153.6,53.3,510.4,400.0,0.0,100.0,2010.4,38.8
m5ad.24xlarge,March 2019,96,96,EPYC 7571,384.0,384.0,SSD,4,76.8,115.2,153.6,230.4,80.0,510.4,400.0,0.0,100.0,2010.4,58.2
m6g.medium,December 2019,1,64,Graviton2,4.0,256.0,EBS,0,0.8,1.2,1.6,2.4,0.5,332.9,0.0,0.0,0.0,1332.9,0.6
m6g.large,December 2019,2,64,Graviton2,8.0,256.0,EBS,0,1.6,2.4,3.2,4.8,0.9,332.9,0.0,0.0,0.0,1332.9,1.2
m6g.xlarge,December 2019,4,64,Graviton2,16.0,256.0,EBS,0,3.2,4.8,6.4,9.6,1.9,332.9,0.0,0.0,0.0,1332.9,2.4
m6g.2xlarge,December 2019,8,64,Graviton2,32.0,256.0,EBS,0,6.4,9.6,12.8,19.2,3.8,332.9,0.0,0.0,0.0,1332.9,4.8
m6g.4xlarge,December 2019,16,64,Graviton2,64.0,256.0,EBS,0,12.8,19.2,25.6,38.4,7.5,332.9,0.0,0.0,0.0,1332.9,9.6
m6g.8xlarge,December 2019,32,64,Graviton2,128.0,256.0,EBS,0,25.6,38.4,51.2,76.8,15.0,332.9,0.0,0.0,0.0,1332.9,19.3
m6g.12xlarge,December 2019,48,64,Graviton2,192.0,256.0,EBS,0,38.4,57.6,76.8,115.2,22.5,332.9,0.0,0.0,0.0,1332.9,28.9
m6g.16xlarge,December 2019,64,64,Graviton2,256.0,256.0,EBS,0,51.2,76.8,102.4,153.6,30.0,332.9,0.0,0.0,0.0,1332.9,38.6
m6g.metal,December 2019,64,64,Graviton2,256.0,256.0,EBS,0,51.2,76.8,102.4,153.6,30.0,332.9,0.0,0.0,0.0,1332.9,38.6
m6gd.medium,December 2019,1,64,Graviton2,4.0,256.0,SSD,2,0.8,1.2,1.6,2.4,0.5,332.9,200.0,0.0,0.0,1532.9,0.7
m6gd.large,December 2019,2,64,Graviton2,8.0,256.0,SSD,2,1.6,2.4,3.2,4.8,0.9,332.9,200.0,0.0,0.0,1532.9,1.4
m6gd.xlarge,December 2019,4,64,Graviton2,16.0,256.0,SSD,2,3.2,4.8,6.4,9.6,1.9,332.9,200.0,0.0,0.0,1532.9,2.8
m6gd.2xlarge,December 2019,8,64,Graviton2,32.0,256.0,SSD,2,6.4,9.6,12.8,19.2,3.8,332.9,200.0,0.0,0.0,1532.9,5.5
m6gd.4xlarge,December 2019,16,64,Graviton2,64.0,256.0,SSD,2,12.8,19.2,25.6,38.4,7.5,332.9,200.0,0.0,0.0,1532.9,11.1
m6gd.8xlarge,December 2019,32,64,Graviton2,128.0,256.0,SSD,2,25.6,38.4,51.2,76.8,15.0,332.9,200.0,0.0,0.0,1532.9,22.2
m6gd.12xlarge,December 2019,48,64,Graviton2,192.0,256.0,SSD,2,38.4,57.6,76.8,115.2,22.5,332.9,200.0,0.0,0.0,1532.9,33.3
m6gd.16xlarge,December 2019,64,64,Graviton2,256.0,256.0,SSD,2,51.2,76.8,102.4,153.6,30.0,332.9,200.0,0.0,0.0,1532.9,44.4
m6gd.metal,December 2019,64,64,Graviton2,256.0,256.0,SSD,2,51.2,76.8,102.4,153.6,30.0,332.9,200.0,0.0,0.0,1532.9,44.4
m6i.large,August 2021,2,128,Xeon Platinum 8375C,8.0,512.0,EBS,0,1.6,2.4,3.2,4.8,1.9,687.9,0.0,0.0,100.0,1787.9,0.8
m6i.xlarge,August 2021,4,128,Xeon Platinum 8375C,16.0,512.0,EBS,0,3.2,4.8,6.4,9.6,3.8,687.9,0.0,0.0,100.0,1787.9,1.6
m6i.2xlarge,August 2021,8,128,Xeon Platinum 8375C,32.0,512.0,EBS,0,6.4,9.6,12.8,19.2,7.5,687.9,0.0,0.0,100.0,1787.9,3.2
m6i.4xlarge,August 2021,16,128,Xeon Platinum 8375C,64.0,512.0,EBS,0,12.8,19.2,25.6,38.4,15.0,687.9,0.0,0.0,100.0,1787.9,6.5
m6i.8xlarge,August 2021,32,128,Xeon Platinum 8375C,128.0,512.0,EBS,0,25.6,38.4,51.2,76.8,30.0,687.9,0.0,0.0,100.0,1787.9,12.9
m6i.12xlarge,August 2021,48,128,Xeon Platinum 8375C,192.0,512.0,EBS,0,38.4,57.6,76.8,115.2,45.0,687.9,0.0,0.0,100.0,1787.9,19.4
m6i.16xlarge,August 2021,64,128,Xeon Platinum 8375C,256.0,512.0,EBS,0,51.2,76.8,102.4,153.6,60.0,687.9,0.0,0.0,100.0,1787.9,25.9
m6i.24xlarge,August 2021,96,128,Xeon Platinum 8375C,384.0,512.0,EBS,0,76.8,115.2,153.6,230.4,90.0,687.9,0.0,0.0,100.0,1787.9,38.8
m6i.32xlarge,August 2021,128,128,Xeon Platinum 8375C,512.0,512.0,EBS,0,102.4,153.6,204.8,307.2,120.0,687.9,0.0,0.0,100.0,1787.9,51.7
